,Title,Company,Location,Salary,Description,Imported From
447,Data Analyst,Her Majesty’s Prison and Probation Service,United Kingdom,None,"At the MoJ we do justice through analysis. We are dedicated to improving justice outcomes through the innovative use of data and analysis.
Our high-quality data services help ensure that a wide range of operational decisions from policy to strategy, are supported by robust analytical evidence.
Our work impacts everything from prisoner rehabilitation to the country’s recovery from Covid-19; from more humane divorce proceedings to the diversity
of the judiciary.
The Role:
Working as part of the Business Partnering Team (BPT) you’ll have ownership of the analytical relationships we share with partners, fully understanding the
Show More",GlassDoor
448,Data Scientist,Holland and Barrett,Remote,None,"Do you want to make a difference by building a next-generation data processing and analytics platform in the cloud in a greenfield environment? Holland and Barrett is a successful business focusing on making people healthier and happier. We started in 1870 and today, we are a highly profitable global Health and Wellness retailer with more than 1,000 shops worldwide, and we are the largest health and wellness retailer in the UK.
About the role:
You will joining a small tech hub in Amsterdam with the view to help grow out this division over time. In the short-term, you will work closely with Data Engineers and Business Stakeholders to help deliver a key corporate project around Forecasting. This is a greenfield project about to start so you will benefit from being part of this team from day one.
Long-term, you will work on optimising and automating the Data Science workflow to build the basis for our prescriptive analytics and artificial intelligence strategy where self-optimising solutions make independent, intelligent decisions.





3 stages:
GCP, Machine Learning, SQL, KubernetesCloud Computing, AWS, R
Show More",GlassDoor
449,Data Scientist (Remote),CrowdStrike,United Kingdom,None,"At CrowdStrike we’re on a mission - to stop breaches. Our groundbreaking technology, services delivery, and intelligence gathering together with our innovations in machine learning and behavioral-based detection, allow our customers to not only defend themselves, but do so in a future-proof manner. Because of that we’ve earned numerous honors and top rankings for our technology, organization and talent. Our culture was purpose-built to be remote first, and we offer flexible work arrangements to help our people manage their personal and professional lives in a way that works for them. If you’re ready to work on unrivaled technology with a team that makes a difference every day, let’s talk.
About the Role:
CrowdStrike Identity Protection team is expanding. We are looking for Data Scientists to help us build solutions with detections based on indicators of risk, analytics and risk scoring. You will have the opportunity to apply your coding, mathematical and scientific research skills to the bleeding edge of security technology. You’ll be able to leverage large-scale rich data to meaningfully improve our unsupervised learning models, refine our identification of malicious identity-based threats and create network insights. CrowdStrike’s cybersecurity data is one-of-a-kind: we process over 1 trillion behavioral events per day and have over 2000 terabytes of malware samples in our research repository. We are a diverse and multidisciplinary team, and you’ll have the chance to broaden your horizons by working jointly with a team of Big Data, Machine Learning, and Security domain experts on hard and impactful problems
Show More",GlassDoor
450,Principal Data Analyst,Network Homes,"London, England",None,"Principal Data Analyst
Location: Wembley, London
Salary: £50,041
Duration: 12 Months FTC
Closing Date: Friday 11 March 2022
About Network Homes

We are a charitable housing association driven by social objectives to make a positive impact on the places we work in, for the long-term. We have an ambition to build a thousand new homes a year, deliver first class customer service and strengthen our residents trust in us as a landlord.

We own and manage over 20,000 homes across London, Hertfordshire and the South East and are a sector leader amongst the G15 group of London’s largest housing associations. We fundamentally believe in the importance to everyone of a safe, secure, and decent home.










Show More",GlassDoor
451,Graduate Data Engineer,Graduate Recruitment Bureau,"London, England",None,"The Company
A rapidly growing, independent consultancy that provide both business and technical solutions to top-tier and boutique investment clients.
The Role
This is a great opportunity for a graduate looking to start their career within data. You will be exposed to designing, delivering and supporting the implementation of data strategies.
You will be:
A team member within the data strategy practice
Providing technical data centric solutions to a growing client base
Show More",GlassDoor
452,Data Scientist - Inside IR35,Lorien,"London, England",None,"Data Scientist - Inside IR35
6 month contract
Remote working with potentially 1 day per week In the London office
Betting and Gaming Industry
Data Scientist required for this global company with more than 20 million users and 160 terabytes of data daily.
As a Data Scientist you'll have a fantastic opportunity to immerse yourself in large volume of data at an exciting time in a digital transformation, as my client build a new Smart Data Platform on Snowflake / AWS and develop models in Databricks and Python.
Show More",GlassDoor
453,Data Engineer,Pertemps Network Group,"London, England",None,"Company information
A public sector body providing vital workplace services to employees, trustees, service providers and service advisors. While the Data Engineer role will be 90% remote and 10% office-based, the office is based in picturesque Brighton, a short walk from the train station, and you’ll be spoiled for choice by the coffee shops and restaurants at the nearby North Laine retail complex.

Job summary
This permanent role would suit a time-served Data Engineer with a history of creating pragmatic, data-led solutions, preferably in the public sector. The purpose of the role is to help the business introduce Azure technologies as it eases into more innovative, data-driven regulation.

Job role
You’ll work alongside a product owner who reports to an analytical community which uses this data to make risk-informed decisions.

Required skills and experience

Desirable skills

Benefits

This is a great opportunity to build knowledge in Azure technologies and take your career to the next level.
Show More",GlassDoor
454,Senior Data Analyst,Metrica Recruitment,,None,"The Company:
A boutique data consultancy that specialises in communicating complex information simply within the education and charity sectors. As a company, they support clients that want to have a positive impact on society and pride themselves on using data to improve the life chances of others.
The Role:
As a senior data analyst, you'll work in a close-knit but high calibre team to deliver a range of high profile projects for clients. For instance, analysing exam data to understand student performance, often building dashboards in Tableau to present insights that showcase how different schools have performed against the national average across various categories.
There will also be the opportunity to develop your statistical capabilities within this role, using regression and multivariate testing techniques to assess long term outcomes of different programmes.
Job Owner: t.stillwell
Show More",GlassDoor
455,Data Entry,Prime Appointments,"Witham, England",None,"A client of ours in Witham is needing a Data Entry Clerk / Administrator to join them initially an ongoing temporary basis with the potential to go permanent.
Working part time, three days a week with some flexibility around the hours of 8.00 - 16.00 / 8.30 - 16.30pm / 9.00 - 17.00
You will be entering confidential data from documents within time limits
Great attention to detail is required
Highly accurate
Data entry experience
Should you have Data Entry and admin experience and be available for work immediately please call Laura at Prime Appointments or apply to this role #officejobs
Show More",GlassDoor
456,Lead Data Engineer,Lorien,"London, England",None,"My client, a leading global Fin-tech based in London, are seeking a Lead Data Engineer to develop and deliver an innovative data platform, that will service company wide requirements for all of their business verticals.
The lead Engineer, will play a key part in introducing a streaming data architecture, to provide real-time access to dashboards, Visualisations and reports. This candidate must have exceptional communication skills as they will need to build strong relationships with the business stakeholders to set expectations and deliver this crucial book of work.
The ideal candidate must have:
Lead Data Engineering experience
Excellent SQL knowledge
Strong AWS Cloud experience
Show More",GlassDoor
457,GCP Data Engineer,Uniting People,"London, England",None,"URGENT CONTRACT
6 - 18 MONTHS
LONDON
GCP Data Engineer
Work with technologies and cloud services to automate platforms and software deployments in a fast paced, scalable, secure, and consistent manner.
This job includes the following responsibilities:
· Data engineer with hands on experience in GCP BigQuery, DataFlow, Machine Learning


Show More",GlassDoor
458,IBM Data Stage Migration Engineer,Uniting People,Remote,None,"IBM Data Stage Migration Engineer To fulfil IBM Data Stage Migration Engineer Engineer for a critical programme.
Demonstrable experience as a DataStage developer and basic understanding of datastage administration
Experience in datastage upgrade and migration to cloud pak for data
Good understanding of ETL Best Practices in design and implementation
Job Type: Full-time
Pay: £475.00-£500.00 per day
Schedule:
Show More",GlassDoor
459,Data Scientist Intern,Samsung Electronics,United Kingdom,None,"Position Summary
At Samsung Research UK, the Emerging Solutions team’s role is to develop new technologies and services in new business areas for Samsung. The team currently has a focus on Health and Energy.

We are now looking for a Data Scientist Intern to work in our highly experienced data science team. It is a great opportunity to use data science to solve real world problems and help develop new technology and services which could be commercialised globally.

Through this position the candidate will have an opportunity to contribute to the development of future Samsung products and build a strong network within Samsung, while continuing to enhance their network within other communities (e.g. startup and academia).

We are ideally looking for someone who is available for a 9-12 month placement, however if you are available for a minimum of 6 months we still encourage you to apply.
Show More",GlassDoor
460,Data Analyst,Uniting People,"London, England",None,"Data Analyst
Systems used: AMOS, SAP, Mariapps
Good to Know: SAP SQVI, SQL, Excel (custom filters, pivots, if statements, vlookups), ADO Boards - Visual Studio Team Services
Migrated data and cutover data to analyze back to the source systems
Report back discrepancies and findings
Suggest potential areas for improvements
Contract length: 6 months
Job Types: Full-time, Fixed term
Show More",GlassDoor
461,Power BI Developer,Uniting People,"London, England",None,"URGENT CONTRACT
6 - 18 MONTHS
REMOTE
Expert in Power BI report development, data visualisation and experience in using other BI Tool like Tableau, Qlik etc.
Extensive experience of working in data/reporting/business intelligence projects for last 4/5 years
Experience of deploying security models for PowerBI reports (particularly RLS model etc.)
Expert in knowledge, development, deployment of data warehouse solutions
Extensive experience in Microsoft BI Stack and working with data in azure with databases like SQL etc.
Show More",GlassDoor
462,Data Analyst - SQL & Python,Uniting People,"London, England",None,"Role – Data Analyst
Rate – up to £450 per day (InsideIR35)
Location – London
Duration – 6 month rolling contract
We are looking for a qualified candidate that has hands on data analytics skills to help us work with engineers and data Scientist to instrument our apps, so that we can collect the right data in a standard way
SQL Experience of 4-6 Years - Mandatory
Python Experience of 3-5 Years - Mandatory
Good communicator will also be a key as we need that person to drive engineering in the right way to get the right data
Show More",GlassDoor
463,Data & Analytics - Internship,NatWest Group,"Manchester, England",None,"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
About you
To be eligible for our Data & Analytics internship, you’ll need to be in your penultimate year of university and be on course to achieving a 2:1 in your degree
We’re looking for curious, inquisitive people who show a real passion for data and technology, and the drive to explore how it can be used to make a positive difference for our customers
You’ll bring strong problem solving skills, along with an analytical approach and an appreciation of analysis techniques.
Show More",GlassDoor
464,Data Science Intern - QuantumBlack,McKinsey & Company,"London, England",None,"Who You'll Work With
You will join QuantumBlack’s leading data science team for 12 weeks this spring in London. Although you will work primarily within our data science research & development (R&D) team, you will still be able to gain exposure to our world-class data engineers, machine learning engineers, designers and McKinsey experts.
You will be joining a team that will challenge you and invest in your professional development through R&D workstreams. Through this, you will be helping the best organizations in the world solve their most difficult problems.
Learn more about QuantumBlack and our people in this video.
What You'll Do
You will work closely with our team of PhD data scientists on R&D workstreams, attend data science journal clubs and attend interdisciplinary team meetings.
Show More",GlassDoor
465,Data Science Researcher,MasterCard,"London, England",None,"In the Financial Crime Solutions team at Mastercard, we build and deliver products and services powered by payments data to find and stop financial crime. We’re an award winning team with a proven track record of combining data science technique with an intimate knowledge of payments data to aid Financial Institutions in their fight against money laundering and fraud. Headquartered in The City of London, and operating globally, we craft bespoke algorithms that help our clients gain an understanding of the underlying criminal behaviour that drives financial crime, empowering them to take action.

Role Overview

As a Data Scientist, you will join one of the first teams in the world looking at payments data in the UK and across the world. In the research discipline you will help build systems that expose money laundering and detect fraud as well as work with the other data scientists and clients to understand the underlying behaviours employed by criminals. You will be product focused, working in close collaboration with our engineering and operations data scientists as well as the wider sales, consulting, and product teams.

* Perform proof-of-concept projects, engage in product design and build prototypes. * Use the full range of data science based techniques to develop new and novel algorithms to aid existing and new financial crime products. * Be able to perform novel research to help us and our clients understand the different criminal behaviours in payments data. * Think about how derived insights can be turned into new products and services we can offer to external clients. * Be ready to learn new technologies as required and engage with legacy and future technology stacks, in the UK and internationally. * Write white papers, patents, and client facing data visualisations. * Consider the full impact of your work. This means considering privacy, security, and regulation, as well as the performance of your code and the accuracy of your models.

Skills Required

Your passion is focused on the design of algorithms to solve real, pressing problems using data. You will have an interest in the financial services industry and want to tackle financial crime in the wider economy. You are excited by building products for clients and are keen to engage in the design processes this involves. Specifically:

As we are often breaking new ground, both for Mastercard and more widely in our sector, we strongly encourage exploring new technologies and techniques. Some of the following experience is therefore desirable:


Show More",GlassDoor
466,Data Scientist,Yell,Remote,None,"Data Scientist
We have a brand new role here at Yell , we are looking for a Data Scientist to join our Data and Insight team.
The Data and Insight team are responsible for providing analytics, reporting, research, and managing the listing database including company level insight. This role is to expand the capability of the team in predictive modelling of business behaviour for both customers and prospects.
Role Responsibilities:
Assimilate and standardise input variables
Analyse data to understand the core drivers of customer churn with particular attention to differences with those in the first year of advertising
Analyse data to understand the core drivers of revenue churn
Build a predictive model to drive actions to prevent customer loss and thereby improve churn rates
Build tools for next best action for retention and prospecting to embed in Yell’s account planning process to identify at risk customers in time to service appropriately and change outcome
Utilise business firmographic, interactions and actions over time and recommendations for additional external/market data to make models more robust









Show More",GlassDoor
467,Tableau Developer,Uniting People,"London, England",None,"URGENT REQUIREMENT
MIN 6 MONTH CONTRACT
BIRMINGHAM OR LONDON BASED
SENIOR ROLE 10+ YEARS EXP
KEY SKILLS:
- Creation of actionable insights in Tableau desktop with crisp and clear viz best suited for data points available.
- modeling and refining data from different source system to pull as extract, experience in data blending
- visualization best practices with experience in dashboarding techniques.
Show More",GlassDoor
468,Junior Data Scientist,Barclays,"London, England",None,"Junior Data Scientist
London
As a Barclays Junior Data Scientist, you will support the delivery of innovative customer & client use cases, in partnership with product owners, team members and data experts. Engaging with wider business stakeholders and external clients. Supporting cases across the business areas and team members in key initiatives as well as assisting the design and implementation of prototyping and co-creation with external clients as well as the longer-term strategic E2E product lifecycle roadmaps.
Barclays is one of the world's largest and most respected financial institutions, with 329 years of success, quality and innovation behind us. We offer careers that provide endless opportunity – helping millions of individuals and businesses thrive, and creating financial and digital solutions that the world now takes for granted.












Show More",GlassDoor
469,"Data Scientist, Climate",NatWest Group,"London, England",None,"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
Join us as a Data Scientist, Climate
Working as part of a growing team, you'll be vital to helping the bank make climate first business decisions, qualifying the environmental impact of our lending and guiding customers to reduce their carbon footprint in an economically sustainable manner.
We’ll look to you to identify and work with data sets from across the bank’s data estate to solve difficult, non-routine analysis problems and apply advanced analytical methods
Show More",GlassDoor
470,Data & Analytics Analyst,NatWest Group,"Edinburgh, Scotland",None,"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
Join us as a Universal Analyst
Hone your analytical skills and take on a new challenge with great learning and development potential
We’ll look to you to provide an expert analytical service so that we can better understand our customers, processes, channels, products and overall business
You'll be joining a forward thinking and collaborative team environment, where you can expect great visibility as you work with a range of stakeholders
Show More",GlassDoor
471,IT Data Engineer Intern,Lumentum Operations LLC,"Towcester, England",None,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!
Lumentum, an intense and exciting growing global company, is looking for interns to join our creative team of engineers working to build and support data & analytics solutions in big data landscape for semiconductor manufacturing. Our team is hard-working, smart, goal-oriented, and creative. We are looking for an intern who will participate in creative way of handling, managing, and deriving meaningful insights from high volume manufacturing and business data. In this position you will ultimately gain real-world hands on experience in a high tech company and at the same time you will participate in an internship program that includes many exciting activities including lunches with executive team members, presentations, and more. Expect to learn all facets of high tech manufacturing data and to leave this position with invaluable skills and industry knowledge.
Show More",GlassDoor
472,Data Science Intern - Summer 2022,FreeAgent,"Edinburgh, Scotland",None,"FreeAgent
FreeAgent is one of the UK's most popular online accounting apps, with over 125,000 customers. FreeAgent removes the stress and pain of dealing with business finances, allowing business owners to focus on running their business!
Our customers love FreeAgent. It is rated 4.7 on Trustpilot.
Our employees love FreeAgent. We are rated 5 stars on Glassdoor.
We believe in the power of a happy and diverse team and we'd love you to join us on this journey
The role ‍
Every summer we invite interns to join our data science and analytics team for three months between June and September. Our interns are treated as full-time employees and become a core part of the team. You will work alongside and be mentored by experienced data scientists, and you'll have the opportunity to contribute to current research and development.













Show More",GlassDoor
473,Reporting Business Analyst (Data Analyst),Synapri,Remote,None,"Reporting Business Analyst required for Microsoft Gold partner on a contract basis. This is a fully remote working position and will be working with and end client in the Financial space.
Skills required:
Experience with Power BI
Advanced with Excel
Data background exposure (data analyst background)
Database and data system skills
Analytical skills
Excellent verbal and written communication skills
Show More",GlassDoor
474,Data Entry Officer,"SOAS, University of London","London, England",None,"Department: Registry

Contract Type: Fixed term - 4 months

Salary: Grade 6 - £30,732.50 to £36,925.50 pa inclusive

Location: Flexible

Hours: 35 hours per week

SOAS University of London is the leading Higher Education institution in Europe specialising in the study of Asia, Africa and the Near and Middle East. SOAS University of London is positioned to play a leading role in reimagining higher education globally, with a new strategic plan in place as the basis for the renewal and revitalisation of the School which commits SOAS to both student responsiveness and research intensity. SOAS is moving towards a new model of international partnerships which is responsive to the transnational character of our global challenges.


The Registry is responsible for the central elements of student administration for the School, with specialist teams including Curriculum and Quality Assurance, Assessment and Progression, Fees and Funding and Visa Compliance.

About the Role

This is an exciting opportunity to contribute to a project that will provide a new Curriculum Management Solution for the School, enhancing the management of the curriculum record, its approval and review.

This role sits within the Curriculum Management and QA Team within the Student and Support Directorate to provide data entry support around the curriculum management to ensure that the data is available and accurate for loading into the new solution in May/June 2022.

This is a key role for Curriculum Management Team and the data movement needs to be completed with good quality and on time to allow the newly purchase product to go live in July/August 2022, so that the students can enrol in August/Sept 2022.

The role involves the collation of the data, data entry and data validation into a standard format which will be provided by the project. It will also involve an element of data correction and cleaning as issues are found in the validation.



Provide data entry support to the Curriculum Management Project, Project Manager (on behalf of the Curriculum and QA Manager);
Collate the curriculum data in line with the guidance from the Curriculum Management Project Manager (CM Project Manager) and into specific templates;
Validate to collated data to existing documents, rules as provided by the CM Project Manager;
Identify data errors and inconsistencies, and missing data in light of the rules and log the issues;
Update the data with the agreed corrections;
Provide support on the curriculum management data as needed by the CM Project Manager i.e. direct data entry, collation of values, Quality checking, etc.

You can find further information on the key criteria for the role in the Job Description and Person Specification, along with a full list of duties and responsibilities, which can be found on the SOAS website.


Please complete the Unbiased application form, please note you will not be able to upload a CV.

7th March 2022

week commencing 14th March 2022

Completed applications must be received by 23:59 on the closing date to be considered.

Further information

If you have any questions or require any assistance with regard to the application process, please contact hr-recruitment@soas.ac.uk

'Successful candidates will need to demonstrate their eligibility to work in the UK or have limited leave to remain in the UK and associated right to work for the duration of their employment with SOAS, in accordance with the Immigration, Asylum and Nationality Act 2006'

For information on how and why SOAS processes personal data about its job applicants, please read our Job Applicant Notice.

We would particularly welcome applications from candidates from working class, first generation Higher Education, the Global South, Black, Asian or other minority ethnic and underrepresented groups. All appointment decisions will be made on merit, following a fair and competitive process.
Show More",GlassDoor
475,Scuderia AlphaTauri - Data Scientist,Red Bull,"Bicester, England",None,"Scuderia AlphaTauri F1 Team is looking for driven and brilliant Data Scientist to join our Aerodynamic Technology team in Bicester. In this role you will have the opportunity to work on improving aero data collection, aero data processing and aero data correlation between wind tunnel, CFD and race track.
RESPONSIBILITIES
Areas that play to your strengths
All the responsibilities we'll trust you with:
Expand all
Aerodynamic Data Collection
Refinement of measurement technologies
Show More",GlassDoor
476,Data Engineer,Her Majesty’s Prison and Probation Service,United Kingdom,None,"At the MoJ we do justice through analysis. We are dedicated to improving justice outcomes through the innovative use of data and analysis.
Our high-quality data services help ensure that a wide range of operational decisions from policy to strategy, are supported by robust analytical evidence.
Our work impacts everything from prisoner rehabilitation to the country’s recovery from Covid-19; from more humane divorce proceedings to the diversity of the judiciary.
The Role:
You will report to the lead data engineer and work in a wider team to develop courts, prisons and probation data using the MoJ’s analytical platform.
Show More",GlassDoor
477,Data Analyst,Her Majesty’s Prison and Probation Service,United Kingdom,None,"At the MoJ we do justice through analysis. We are dedicated to improving justice outcomes through the innovative use of data and analysis.
Our high-quality data services help ensure that a wide range of operational decisions from policy to strategy, are supported by robust analytical evidence.
Our work impacts everything from prisoner rehabilitation to the country’s recovery from Covid-19; from more humane divorce proceedings to the diversity
of the judiciary.
The Role:
Working as part of the Business Partnering Team (BPT) you’ll have ownership of the analytical relationships we share with partners, fully understanding the
Show More",GlassDoor
478,Data Scientist,Holland and Barrett,Remote,None,"Do you want to make a difference by building a next-generation data processing and analytics platform in the cloud in a greenfield environment? Holland and Barrett is a successful business focusing on making people healthier and happier. We started in 1870 and today, we are a highly profitable global Health and Wellness retailer with more than 1,000 shops worldwide, and we are the largest health and wellness retailer in the UK.
About the role:
You will joining a small tech hub in Amsterdam with the view to help grow out this division over time. In the short-term, you will work closely with Data Engineers and Business Stakeholders to help deliver a key corporate project around Forecasting. This is a greenfield project about to start so you will benefit from being part of this team from day one.
Long-term, you will work on optimising and automating the Data Science workflow to build the basis for our prescriptive analytics and artificial intelligence strategy where self-optimising solutions make independent, intelligent decisions.





3 stages:
GCP, Machine Learning, SQL, KubernetesCloud Computing, AWS, R
Show More",GlassDoor
479,Data Scientist (Remote),CrowdStrike,United Kingdom,None,"At CrowdStrike we’re on a mission - to stop breaches. Our groundbreaking technology, services delivery, and intelligence gathering together with our innovations in machine learning and behavioral-based detection, allow our customers to not only defend themselves, but do so in a future-proof manner. Because of that we’ve earned numerous honors and top rankings for our technology, organization and talent. Our culture was purpose-built to be remote first, and we offer flexible work arrangements to help our people manage their personal and professional lives in a way that works for them. If you’re ready to work on unrivaled technology with a team that makes a difference every day, let’s talk.
About the Role:
CrowdStrike Identity Protection team is expanding. We are looking for Data Scientists to help us build solutions with detections based on indicators of risk, analytics and risk scoring. You will have the opportunity to apply your coding, mathematical and scientific research skills to the bleeding edge of security technology. You’ll be able to leverage large-scale rich data to meaningfully improve our unsupervised learning models, refine our identification of malicious identity-based threats and create network insights. CrowdStrike’s cybersecurity data is one-of-a-kind: we process over 1 trillion behavioral events per day and have over 2000 terabytes of malware samples in our research repository. We are a diverse and multidisciplinary team, and you’ll have the chance to broaden your horizons by working jointly with a team of Big Data, Machine Learning, and Security domain experts on hard and impactful problems
Show More",GlassDoor
480,Principal Data Analyst,Network Homes,"London, England",None,"Principal Data Analyst
Location: Wembley, London
Salary: £50,041
Duration: 12 Months FTC
Closing Date: Friday 11 March 2022
About Network Homes

We are a charitable housing association driven by social objectives to make a positive impact on the places we work in, for the long-term. We have an ambition to build a thousand new homes a year, deliver first class customer service and strengthen our residents trust in us as a landlord.

We own and manage over 20,000 homes across London, Hertfordshire and the South East and are a sector leader amongst the G15 group of London’s largest housing associations. We fundamentally believe in the importance to everyone of a safe, secure, and decent home.










Show More",GlassDoor
481,Data Scientist,Lightricks,"London, England",None,"Lightricks is a pioneer in creativity tools that inspire people to craft visual content and share the world through their eyes with friends, family and followers. Our suite of content creation apps has over 500 million downloads worldwide and won numerous prestigious awards — including Apple's App of the Year, the Apple Design Award and both Apple and Google Play’s Best of the Year. Lightricks is a data driven company, and thus the Data science group has a big impact on decision making.
About the role:
We’re looking for a talented Data Scientist to join our London site. You will work with some of the greatest minds in product on our award-winning apps and help them increase the app performance through data products, such as personalised app journeys, and finding meaningful insights and actions for better decision making.
Using Machine Learning and Statistical tools, you will build predictive and explanatory models to personalise the users’ journey in the app, find some treasures and needle moving insights in our data, be involved in decision making of apps and affect millions of users.


3 stages SQLPython
Show More",GlassDoor
482,Graduate Data Engineer,Graduate Recruitment Bureau,"London, England",None,"The Company
A rapidly growing, independent consultancy that provide both business and technical solutions to top-tier and boutique investment clients.
The Role
This is a great opportunity for a graduate looking to start their career within data. You will be exposed to designing, delivering and supporting the implementation of data strategies.
You will be:
A team member within the data strategy practice
Providing technical data centric solutions to a growing client base
Show More",GlassDoor
483,Data Scientist - Inside IR35,Lorien,"London, England",None,"Data Scientist - Inside IR35
6 month contract
Remote working with potentially 1 day per week In the London office
Betting and Gaming Industry
Data Scientist required for this global company with more than 20 million users and 160 terabytes of data daily.
As a Data Scientist you'll have a fantastic opportunity to immerse yourself in large volume of data at an exciting time in a digital transformation, as my client build a new Smart Data Platform on Snowflake / AWS and develop models in Databricks and Python.
Show More",GlassDoor
484,Senior Data Analyst,Metrica Recruitment,,None,"The Company:
A boutique data consultancy that specialises in communicating complex information simply within the education and charity sectors. As a company, they support clients that want to have a positive impact on society and pride themselves on using data to improve the life chances of others.
The Role:
As a senior data analyst, you'll work in a close-knit but high calibre team to deliver a range of high profile projects for clients. For instance, analysing exam data to understand student performance, often building dashboards in Tableau to present insights that showcase how different schools have performed against the national average across various categories.
There will also be the opportunity to develop your statistical capabilities within this role, using regression and multivariate testing techniques to assess long term outcomes of different programmes.
Job Owner: t.stillwell
Show More",GlassDoor
485,Data Entry,Prime Appointments,"Witham, England",None,"A client of ours in Witham is needing a Data Entry Clerk / Administrator to join them initially an ongoing temporary basis with the potential to go permanent.
Working part time, three days a week with some flexibility around the hours of 8.00 - 16.00 / 8.30 - 16.30pm / 9.00 - 17.00
You will be entering confidential data from documents within time limits
Great attention to detail is required
Highly accurate
Data entry experience
Should you have Data Entry and admin experience and be available for work immediately please call Laura at Prime Appointments or apply to this role #officejobs
Show More",GlassDoor
486,Lead Data Engineer,Lorien,"London, England",None,"My client, a leading global Fin-tech based in London, are seeking a Lead Data Engineer to develop and deliver an innovative data platform, that will service company wide requirements for all of their business verticals.
The lead Engineer, will play a key part in introducing a streaming data architecture, to provide real-time access to dashboards, Visualisations and reports. This candidate must have exceptional communication skills as they will need to build strong relationships with the business stakeholders to set expectations and deliver this crucial book of work.
The ideal candidate must have:
Lead Data Engineering experience
Excellent SQL knowledge
Strong AWS Cloud experience
Show More",GlassDoor
487,GCP Data Engineer,Uniting People,"London, England",None,"URGENT CONTRACT
6 - 18 MONTHS
LONDON
GCP Data Engineer
Work with technologies and cloud services to automate platforms and software deployments in a fast paced, scalable, secure, and consistent manner.
This job includes the following responsibilities:
· Data engineer with hands on experience in GCP BigQuery, DataFlow, Machine Learning


Show More",GlassDoor
488,IBM Data Stage Migration Engineer,Uniting People,Remote,None,"IBM Data Stage Migration Engineer To fulfil IBM Data Stage Migration Engineer Engineer for a critical programme.
Demonstrable experience as a DataStage developer and basic understanding of datastage administration
Experience in datastage upgrade and migration to cloud pak for data
Good understanding of ETL Best Practices in design and implementation
Job Type: Full-time
Pay: £475.00-£500.00 per day
Schedule:
Show More",GlassDoor
489,Data Scientist Intern,Samsung Electronics,United Kingdom,None,"Position Summary
At Samsung Research UK, the Emerging Solutions team’s role is to develop new technologies and services in new business areas for Samsung. The team currently has a focus on Health and Energy.

We are now looking for a Data Scientist Intern to work in our highly experienced data science team. It is a great opportunity to use data science to solve real world problems and help develop new technology and services which could be commercialised globally.

Through this position the candidate will have an opportunity to contribute to the development of future Samsung products and build a strong network within Samsung, while continuing to enhance their network within other communities (e.g. startup and academia).

We are ideally looking for someone who is available for a 9-12 month placement, however if you are available for a minimum of 6 months we still encourage you to apply.
Show More",GlassDoor
490,Data Analyst,Uniting People,"London, England",None,"Data Analyst
Systems used: AMOS, SAP, Mariapps
Good to Know: SAP SQVI, SQL, Excel (custom filters, pivots, if statements, vlookups), ADO Boards - Visual Studio Team Services
Migrated data and cutover data to analyze back to the source systems
Report back discrepancies and findings
Suggest potential areas for improvements
Contract length: 6 months
Job Types: Full-time, Fixed term
Show More",GlassDoor
491,Power BI Developer,Uniting People,"London, England",None,"URGENT CONTRACT
6 - 18 MONTHS
REMOTE
Expert in Power BI report development, data visualisation and experience in using other BI Tool like Tableau, Qlik etc.
Extensive experience of working in data/reporting/business intelligence projects for last 4/5 years
Experience of deploying security models for PowerBI reports (particularly RLS model etc.)
Expert in knowledge, development, deployment of data warehouse solutions
Extensive experience in Microsoft BI Stack and working with data in azure with databases like SQL etc.
Show More",GlassDoor
492,Data Analyst - SQL & Python,Uniting People,"London, England",None,"Role – Data Analyst
Rate – up to £450 per day (InsideIR35)
Location – London
Duration – 6 month rolling contract
We are looking for a qualified candidate that has hands on data analytics skills to help us work with engineers and data Scientist to instrument our apps, so that we can collect the right data in a standard way
SQL Experience of 4-6 Years - Mandatory
Python Experience of 3-5 Years - Mandatory
Good communicator will also be a key as we need that person to drive engineering in the right way to get the right data
Show More",GlassDoor
493,Data & Analytics - Internship,NatWest Group,"Manchester, England",None,"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
About you
To be eligible for our Data & Analytics internship, you’ll need to be in your penultimate year of university and be on course to achieving a 2:1 in your degree
We’re looking for curious, inquisitive people who show a real passion for data and technology, and the drive to explore how it can be used to make a positive difference for our customers
You’ll bring strong problem solving skills, along with an analytical approach and an appreciation of analysis techniques.
Show More",GlassDoor
